No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category,Unknown,Remaining_data,Url_Keywords,Priority Rank,
2816,accenture solutions pvt ltd cdc 5,27100,8,1118,$0.12,16,21,https://www.mappls.com/5m5w0s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2817,building number 9,33100,23,109,$0.16,6,31,https://www.mappls.com/lv7bgx,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2818,birla technological museum kolkata,33100,34,69,$0.15,3,30,https://www.mappls.com/8be341,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2819,bhavnagar bus station,33100,8,2181,$0.03,3,19,https://www.mappls.com/place-bhavnagar+bus+station-station+road-panwadi-bhavnagar-gujarat-364001-5T3212@zdata=MjEuNzY5OTU3KzcyLjEzNjY3MysxNys1VDMyMTIrKw==ed,Bhavnagar,Gujarat,India,West,Bhavnagar,Unknown,,,,1,
2820,bhavani peth pune,33100,71,69,$0.10,4,20,https://www.mappls.com/place-vithal+mandir-bhavani+road-bhawani+peth-pune-maharashtra-411042-BO7EMI@zdata=MTguNTA5ODE5KzczLjg3MDM1MisxNytCTzdFTUkrKw==ed,Pune,Maharashtra,India,West,Pune,Unknown,,,,1,
2821,sindhu bhavan road,27100,21,168,$0,6,23,https://www.mappls.com/octbrv,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2822,science city in lucknow,33100,20,185,$0.10,4,15,https://www.mappls.com/vkxwju,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2823,rourkela station,33100,28,79,$0,1,28,https://www.mappls.com/place-rourkela+railway+station-udit+nagar-rourkela-odisha-769012-TT38T5@zdata=MjIuMjI3NjA0Kzg0Ljg2Mjk3KzE3K1RUMzhUNSsrbnI=ed,Rourkela,Odisha,India,East,Rourkela,Unknown,,,,1,
2824,regional transport office mumbai east,33100,8,1118,$0.11,5,16,https://www.mappls.com/2d6ymj,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2825,railway station in mumbai,27100,52,69,$0.29,1,26,https://www.mappls.com/5c8b23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2826,radisson blu nagpur,33100,45,69,$0.12,32,32,https://www.mappls.com/c1eee3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2827,radisson blu in paschim vihar,33100,51,69,$0.55,37,37,https://www.mappls.com/qlbg12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2828,punjabi bagh west new delhi,33100,14,301,$0.08,4,22,https://www.mappls.com/place-punjabi+bagh+west+metro+station-punjabi+bagh-ring+road-new+delhi-delhi-110026-69feks@zdata=MjguNjcyOTM0Kzc3LjEzOTEzOCsxNys2OWZla3MrKw==ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
2829,platina mall,33100,17,168,$0.32,7,19,https://www.mappls.com/xejvbg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2830,tip top plaza thane hotel,33100,35,69,$0.29,10,22,https://www.mappls.com/5b4dcd,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2831,the club andheri west mumbai,27100,19,142,$0.19,6,18,https://www.mappls.com/place-club+mumbai-197-dn+nagar-andheri+west-mumbai-maharashtra-400053-63CB2T@zdata=MTkuMTIxMzAxKzcyLjgzMDE0MSsxNys2M0NCMlQrK25yed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
2832,cafe tesu,33100,40,69,$0.14,2,28,https://www.mappls.com/7apvlp,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2833,metro station kashmere gate,22200,31,69,$0.31,2,20,https://www.mappls.com/place-kashmere+gate+metro+station-near+kashmiri+gate+isbt-kashmere+gate-new+delhi-delhi-110006-FFSA82@zdata=MjguNjY3NDkyKzc3LjIyODI0OCsxNytGRlNBODIrK25yed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
2834,marble palace,18100,43,69,$0,4,25,https://www.mappls.com/5s61at,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2835,lokmanya tilak terminus railway station mumbai maharashtra,27100,20,142,$0.12,3,20,https://www.mappls.com/place-lokmanya+tilak+terminus-pipeline+road-lokmanya+tilak+terminus+railway+yard-kurla+east-mumbai-maharashtra-400089-3qfxrq@zdata=MTkuMDcxMTQxKzcyLjg5MTAwNisxNyszcWZ4cnErKw==ed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
2836,laxmi industrial estate andheri,33100,17,248,$0.12,5,16,https://www.mappls.com/place-laxmi+industrial+estate-off+new+link+road-shantivan+chs-andheri+west-mumbai-maharashtra-400053-ELBJWM@zdata=MTkuMTUwOTA0KzcyLjgzMDA1NisxNytFTEJKV00rK25yed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
2837,laxmi industrial estate,33100,12,652,$0,13,26,https://www.mappls.com/place-laxmi+industrial+estate-off+new+link+road-shantivan+chs-andheri+west-mumbai-maharashtra-400053-ELBJWM@zdata=MTkuMTUwOTA0KzcyLjgzMDA1NisxNytFTEJKV00rK25yed,Mumbai,Maharashtra,India,West,Mumbai,Unknown,,,,1,
2838,west tambaram,27100,42,69,$0.14,6,28,https://www.mappls.com/place-tambaram-kakkan+street-brindavan+colony-tambaram+west-chennai-tamil+nadu-600045-wk1elr@zdata=MTIuOTI1MzkxKzgwLjExMTczNisxNyt3azFlbHIrKw==ed,Chennai,Unknown,Unknown,Unknown,Chennai,Unknown,,,,1,
2839,vivanta hotel dwarka,33100,34,69,$0.47,39,40,https://www.mappls.com/o7n3v5,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
2840,videocon tower,33100,13,374,$0.13,4,16,https://www.mappls.com/place-videocon+tower+parking-desh+bandhu+gupta+road-block+e1-jhandewalan+extension-new+delhi-delhi-110055-j65cff@zdata=MjguNjQ1ODg2Kzc3LjIwMTY0NisxNytqNjVjZmYrKw==ed,Delhi,Delhi,India,North,Delhi,Unknown,,,,1,
2841,vfs global visa application centre in delhi,33100,20,109,$0.46,1,38,https://www.mappls.com/q1v32w,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1,
