No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL,City,State,Country,Region,URL_Location,Category
5931,1932 trevi,9900,5,1440,$0.17,4,20,https://www.zomato.com/jaipur/1932-trevi-narayan-singh-circle,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown
5932,waffles house,14800,5,2397,$0.17,1,24,https://www.zomato.com/hyderabad/waffle-house-hitech-city,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
5933,travancore court,9900,15,134,$0.33,36,19,https://www.zomato.com/kochi/feast-travancore-court-pallimukku,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown
5934,shangri la delhi,18100,27,31,$0.27,64,38,https://www.zomato.com/ncr/shang-palace-shangri-la-eros-new-delhi-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
5935,sangeeth coolbar,14800,19,82,$0.16,1,19,https://www.zomato.com/kozhikode/cool-bar-fruits-and-bakery-mankavu/order,Kozhikode,Unknown,Unknown,Unknown,Kozhikode,Unknown
5936,sai priya beach resort vizag,14800,5,975,$0.09,18,15,https://www.zomato.com/visakhapatnam/sai-priya-beach-resort-rushikonda-vizag,Visakhapatnam,Unknown,Unknown,Unknown,Visakhapatnam,Hotel
5937,ruchi,14800,12,500,$0,1,35,https://www.zomato.com/mumbai/ruchi-veg-restaurant-parel,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant
5938,rj14 which city,12100,10,291,$0,1,16,https://www.zomato.com/jaipur/rj-14-ajmer-highway,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown
5939,restaurants in baner,14800,4,4499,$0,6,19,https://www.zomato.com/pune/baner-restaurants,Pune,Unknown,Unknown,Unknown,Pune,Restaurant
5940,restaurant park street,18100,4,4499,$0.03,2,24,https://www.zomato.com/kolkata/park-street-area-restaurants,Kolkata,Unknown,Unknown,Unknown,Kolkata,Restaurant
5941,restaurant at trivandrum,12100,5,2397,$0.07,2,28,https://www.zomato.com/trivandrum,Thiruvananthapuram,Unknown,Unknown,Unknown,Thiruvananthapuram,Unknown
5942,pvr cinemas juhu,14800,21,35,$0.07,3,20,https://www.zomato.com/mumbai/pvr-caf%C3%A9-popcorn-pizza-hot-dogs-snacks-juhu,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5943,pure veg near me,14800,6,1440,$0.04,7,32,https://www.zomato.com/restaurants-near-me,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
5944,mehfil restaurant near me,14800,5,2397,$0.21,12,13,https://www.zomato.com/hyderabad/mehfil-restaurant-chandrayanagutta,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Restaurant
5945,masaledaar desi rasoi vadapalani,8100,4,2397,$0.06,1,19,https://www.zomato.com/chennai/restaurants/masaledaar-desi-rasoi,Chennai,Unknown,Unknown,Unknown,Chennai,Restaurant
5946,maps indore,14800,43,31,$0.01,1,25,https://www.zomato.com/deliver-food/,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5947,manna mess,9900,16,167,$0.04,1,32,https://www.zomato.com/kotagiri/manna-mess-kotagiri-locality/order,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5948,maa ki rasoi,14800,4,4499,$0.05,2,21,https://www.zomato.com/hi/indore/maa-ki-rasoi-sudama-nagar,Indore,Unknown,Unknown,Unknown,Indore,Unknown
5949,kwality restaurant,14800,5,2397,$0.12,2,23,https://www.zomato.com/ncr/kwality-connaught-place-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
5950,koramangala 8th block,14800,6,1440,$0.43,6,19,https://www.zomato.com/bangalore/koramangala-8th-block-restaurants,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
5951,khan market eateries,14800,5,2397,$0.01,1,23,https://www.zomato.com/ncr/restaurants/in/khan-market,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
5952,kfc menu with price,12100,11,378,$0.14,1,9,https://www.zomato.com/pune/kfc-jm-road/order,Pune,Unknown,Unknown,Unknown,Pune,Unknown
5953,kanha sweet,12100,7,1440,$0.24,2,21,https://www.zomato.com/jaipur/kanha-malviya-nagar,Jaipur,Unknown,Unknown,Unknown,Jaipur,Unknown
5954,kadri cafe,12100,4,2397,$0.75,3,29,https://www.zomato.com/mangalore/kadri-cafe-1-kadri,Mangaluru,Unknown,Unknown,Unknown,Mangaluru,Restaurant
5955,k r bakers,12100,13,378,$0.15,1,22,https://www.zomato.com/kochi/k-r-bakes-1-kalamassery/order,Kochi,Unknown,Unknown,Unknown,Kochi,Unknown
5956,the tanjore tiffin room bandra,12100,3,4499,$0.17,12,23,https://www.zomato.com/mumbai/the-tanjore-tiffin-room-pali-hill-bandra-west,Thanjavur,Unknown,Unknown,Unknown,Thanjavur,Unknown
5957,the table mumbai,14800,3,4499,$0.10,1,33,https://www.zomato.com/mumbai/the-table-colaba,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5958,the leela ambience convention hotel,14800,11,291,$0.36,12,13,https://www.zomato.com/ncr/restaurants/in/the-leela-ambience-convention-hotel,Unknown,Unknown,Unknown,Unknown,Unknown,Restaurant
5959,the good bowl,9900,6,1440,$0.13,4,19,https://www.zomato.com/hyderabad/the-good-bowl-gachibowli,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
5960,taj varanasi,14800,26,32,$0.15,41,35,https://www.zomato.com/varanasi/restaurants/in/taj-ganges-nadesar,Varanasi,Unknown,Unknown,Unknown,Varanasi,Restaurant
5961,small cakes,14800,48,31,$0.04,98,29,https://www.zomato.com/mumbai/the-mini-cake-shop-vashi-navi-mumbai,Navi Mumbai,Unknown,Unknown,Unknown,Navi Mumbai,Unknown
5962,mohan ji puri wale,12100,4,4499,$0,1,25,https://www.zomato.com/haridwar/mohan-ji-puri-wale-jwalapur,Haridwar,Unknown,Unknown,Unknown,Haridwar,Unknown
5963,minerva grand vijayawada,14800,8,500,$0.13,36,28,https://www.zomato.com/vijayawada/minerva-grand-eat-street-gunadala,Vijayawada,Unknown,Unknown,Unknown,Vijayawada,Unknown
5964,pizzeria,14800,4,4499,$0.30,2,36,https://www.zomato.com/ncr/pizzeria-janakpuri-new-delhi,New Delhi,Delhi,India,North,New Delhi,Unknown
5965,pakka local,14800,5,2397,$0,5,24,https://www.zomato.com/hyderabad/pakka-local-banjara-hills,Hyderabad,Unknown,Unknown,Unknown,Hyderabad,Unknown
5966,nyati plaza,9900,11,222,$0.29,4,20,https://www.zomato.com/pune/nyati-estate-road-nyati-county-restaurants?buffet=1&cft=3,Pune,Unknown,Unknown,Unknown,Pune,Restaurant
5967,f'n,14800,36,31,$0,1,25,https://www.zomato.com/it/mumbai/f-n-b-kandivali-west?amp=1,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5968,east 7th pizza & deli,9900,3,4499,$0.32,6,26,https://www.zomato.com/mumbai/east-7th-pizza-deli-hill-road-bandra-west,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5969,cookie cartel,12100,3,1440,$0.02,26,30,https://www.zomato.com/mumbai/cookie-cartel-grant-road/order,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5970,combermere shimla,14800,7,631,$0.20,54,22,https://www.zomato.com/shimla/hotel-combermere-longwood,Shimla,Unknown,Unknown,Unknown,Shimla,Hotel
5971,ccd square,14800,4,4499,$0.15,4,19,https://www.zomato.com/bangalore/cafe-coffee-day-2-lavelle-road-bangalore,Bengaluru,Unknown,Unknown,Unknown,Bengaluru,Restaurant
5972,canvas restaurant & pizzeria,9900,3,4499,$0.03,3,22,https://www.zomato.com/kochi/canvas-restaurant-pizzeria-1-fort-kochi,Kochi,Unknown,Unknown,Unknown,Kochi,Restaurant
5973,cafe in juhu,14800,5,2397,$0,2,18,https://www.zomato.com/mumbai/restaurants/cafes?landmark_id=439,Mumbai,Unknown,Unknown,Unknown,Mumbai,Restaurant
5974,borivali banjara family restaurant and party hall,12100,3,4499,$0.12,8,22,https://www.zomato.com/mumbai/banjara-dhaba-borivali-west,Mumbai,Unknown,Unknown,Unknown,Mumbai,Unknown
5975,itc dwarka,14800,21,48,$0.33,65,42,https://www.zomato.com/ncr/restaurants/in/welcomhotel-dwarka-sector-10-dwarka,Dwarka,Unknown,Unknown,Unknown,Dwarka,Restaurant
